安宁山河,34614,2422203,大众|朗逸|2018款 1.5L 自动舒适版,5,4,4,上海,上海,2018-12,11.89,6.6,必须是外观，大气！车子行驶起来很稳重有安全感，空调很好很暖,起步有点肉，开了自动驻车在第一脚油门时车会有轻微的抖动。胎噪大，隔音不太好，不开大灯仪表盘是黑的是什么鬼？
非一般的人儿,34614,2424651,大众|朗逸|2018款 1.5L 自动舒适版,5,3,3,河北,石家庄,2018-11,12.5,7.7,首先选择这款车是因为颜值，我属于外观控；然后是配置，电子手刹、自动驻车、自动启停，至少这三样是我梦寐以求的。最后是因为没钱想装，就是这样赤裸裸的想法，不服不行。,说好的省优呢？其实我感觉相比我的现代并不省。其次是异响，刚买上在回家的路上，前挡风玻璃左下角一直会有吱吱吱的响声，不开音乐真的很心烦，要炸的感觉。
BABY1065193814,34614,2280314,大众|朗逸|2018款 1.5L 自动舒适版,5,5,5,江苏,南京,2018-10,11.99,7.4,空间大，LED大灯，主动刹车系统（两次差点追尾，帮我刹停）很赞！,座椅不是电动的，内饰塑料感太强
无敌Plus888,34614,2065851,大众|朗逸|2018款 1.5L 自动舒适版,5,5,5,河南,周口,2018-06,13.89,6.5,要说这车最满意的就是外观和空间了，车身比老款加长了一点，轴距虽然增加不多，但是带来的内部体验却给人惊喜，购车的时候特意在老款和新款体验了一下，新款的座椅比这老款要舒服的多，车身长了增加了修长感，后尾部微微上翘给人一种运动感，而且天窗实在是太大了，销售说这是同级别最大的天窗了，而且这车空调特别给力，这么热的天，上车后先通下风，再打开空调，不一会就凉了，是很凉的那种感觉。这空调是六档调速的，温度降下来后，用二挡就可以了。,要说不满意的就是后悬挂竟然不是独立悬挂吧，我不是专业车手，也体验不出好坏，网上都说独立悬挂更舒适一些，咱老百姓买车图的啥就是放心，管它啥悬挂呢，只要开着省心不就行了，最主要的事新车没有优惠！新车上市都这样么，要是等几个月是不是会便宜些，急着用车也就这了。
LmMango,34614,2191590,大众|朗逸|2018款 1.5L 自动舒适版,5,4,4,广东,汕头,2018-07,14,-1.0,最满意的就是外观了，就跟帕萨特一样，看着大气，最重要的是大众的稳定性以及操控性耐用性保值性了，开出去回头率挺高的，这车有锁车后车窗自动关，不过要按住锁车键，可以去刷系统，可是懒得跑。,等了一个月，总算订到黑色的，价格聊了一个月，给优惠了一万。
韩超456,34614,2218960,大众|朗逸|2018款 1.5L 自动舒适版,5,4,4,山东,青岛,2018-08,12.7,7.5,车的外观，配置，尤其是带透镜的LED大灯，带透镜，带透镜，带透镜（重要的事情说三遍）,大众的内饰还是像以前一样。虽然有点改进，感觉还是有点不上档次。动力方面马马虎虎吧。还有就是后排空间凸起，这个有点受不了，还好平时就我一人开，最多也就是一家三口，也能坐开。
人生无价BBA,37389,2434649,奥迪|奥迪A6L|2018款 TFSI 典藏版,5,4,5,山东,泰安,2019-01,40,12.0,最满意的就是这款车的外观和动力，外观延续了奥迪一贯的沉稳与大气，很商务。很喜欢伸缩屏幕的设计。,太商务了，年轻人开出去会被认成司机。
松小牛,37389,2423604,奥迪|奥迪A6L|2018款 TFSI 典藏版,4,4,4,广西,南宁,2018-12,39,8.3,都还好吧，车比较耐看，空间也比较大，喜欢这个车灯，18寸的轮毂配上米其林是比较符合我的口味.其实第二辆车，没有第一辆那么兴奋了，人没老，买了这车就感觉变沉稳了，反正各方面都行,座椅不喜欢皮的，还有就是储物空间太少，其他一些细节不够人性化，后排没有按比例放倒，失败，你们买了慢慢体会，这里说不了那么多
ay3yhf,37391,2424332,奥迪|奥迪A6L|2018款 30 FSI 典藏版,5,2,3,湖北,武汉,2019-01,36,10.0,v6发动机,1、2018款的底盘高度较2015款降低了不少，最小离地间隙太低，导致视线并不是太好；2、另外想吐槽的是a6的座椅实在实在是太短了，而且硬，座椅还不如我14款的帕萨特宽大，跟宝马比起来座椅舒适度完全不在一个层次；3、提速不如我的帕萨特，整车开起来有点笨重不够灵活，但贵在平顺；4、典藏版配备了19存轮毂，减震实在是太硬，舒适感很差。
章鱼痞子哈,37390,2379404,奥迪|奥迪A6L|2018款 35 TFSI 典藏版,5,5,4,河南,郑州,2019-01,31.75,11.0,动力方面很满意，2.0T的动力，市区加速嗷嗷叫。空间也足够大，毕竟5米多的车身。新款确实好看，但是价格偏高，现在老款优惠力度大。,没有储物空间，手机都没地方放。低速顿挫感不是很强烈。吐槽一下4s销售，订车说的，跟交钱时说的完全不一样，最后多送了点东西。
fems3636,37391,2421967,奥迪|奥迪A6L|2018款 30 FSI 典藏版,4,4,5,广东,广州,2018-12,38.6,9.0,隔音好，发动机、胎噪、风噪控制得很好；刹车稳重。,入档倒车或切回D档有明显的顿挫感，影响整体操控性，这点远不如宝马5系。车头修整得有点过，显得太多单薄，像个小年轻，跟之前官车稳重的形象形成较大的落差。
Guz877,37390,2444567,奥迪|奥迪A6L|2018款 35 TFSI 典藏版,5,5,4,北京,北京,2018-12,41.78,11.0,空间、动力、外观，空间非常大，本人180cm座子调的比较靠后，后排还是可以翘二郎腿毕竟3米的轴距摆在那。动力2.0T的街跑、高速都够用，超车推背感很强几乎用不到S档，稍微深踩些就有推背感，发动机换挡声音很好听。外观没得说，选这车的外观占主要毕竟买是灯送车的灯厂。。典藏版标配的S-Line套件显得更加运动些，总之360度不管哪个角度看都没有死角，越看越爱看。,发动机启停，启停，启停。这个配置很鸡肋，出小区过减速带深踩些油门车还没停稳发动机就熄火，堵车也一样，感觉很毁马达…还有40 的车360摄像头、无钥匙进入系统、电尾门都需要自己选装就过分了…
有1说一,35176,2195799,本田|奥德赛|2018款 2.4L 豪华版,5,4,5,辽宁,大连,2018-08,24.98,9.5,空间，油耗，外观！,动力稍差，配置太低！！！
