211652,朗逸 1.5L 自动舒适版,3597,朗逸,2018,142900,614,34614
214213,奥迪A6L TFSI 典藏版,2389,奥迪A6L,2018,402800,18,37389
214214,奥迪A6L 30 FSI 典藏版,2389,奥迪A6L,2018,463800,18,37391
214215,奥迪A6L 35 TFSI 典藏版,2389,奥迪A6L,2018,417800,18,37390
212041,奥德赛 2.4L 舒适版,2434,奥德赛,2018,229800,880,35175
212042,奥德赛 2.4L 豪华版,2434,奥德赛,2018,249800,880,35176
212043,奥德赛 2.4L 智享版,2434,奥德赛,2018,266800,880,35177
212045,奥德赛 2.4L 尊享版,2434,奥德赛,2018,279800,880,35178
212046,奥德赛 2.4L 至尊版,2434,奥德赛,2018,299800,880,35134
212629,奥德赛 2.4L 智享福祉版,2434,奥德赛,2018,321800,880,35769
